Loss: 123.5640, Primary Loss: 123.5289, Reg Loss: 0.0352
Loss: 106.3696, Primary Loss: 106.3384, Reg Loss: 0.0312
Loss: 110.1180, Primary Loss: 110.0839, Reg Loss: 0.0341
Loss: 93.9466, Primary Loss: 93.9118, Reg Loss: 0.0349
Loss: 114.7465, Primary Loss: 114.7110, Reg Loss: 0.0355
Loss: 127.5213, Primary Loss: 127.4856, Reg Loss: 0.0358
Loss: 102.0382, Primary Loss: 101.9981, Reg Loss: 0.0400
Loss: 111.1296, Primary Loss: 111.0963, Reg Loss: 0.0333
Loss: 109.9465, Primary Loss: 109.9178, Reg Loss: 0.0287
Loss: 126.6986, Primary Loss: 126.6703, Reg Loss: 0.0282
Loss: 96.9250, Primary Loss: 96.8763, Reg Loss: 0.0487
Loss: 93.1109, Primary Loss: 93.0764, Reg Loss: 0.0346
Loss: 103.1780, Primary Loss: 103.1445, Reg Loss: 0.0334
Loss: 125.9773, Primary Loss: 125.9454, Reg Loss: 0.0318
Loss: 99.6555, Primary Loss: 99.6214, Reg Loss: 0.0341
Loss: 114.3371, Primary Loss: 114.3054, Reg Loss: 0.0317
Loss: 119.8103, Primary Loss: 119.7781, Reg Loss: 0.0322
Loss: 122.0661, Primary Loss: 122.0337, Reg Loss: 0.0324
Loss: 111.5522, Primary Loss: 111.5166, Reg Loss: 0.0356
Loss: 97.3834, Primary Loss: 97.3487, Reg Loss: 0.0347
Loss: 89.0401, Primary Loss: 89.0093, Reg Loss: 0.0308
Loss: 132.0379, Primary Loss: 132.0071, Reg Loss: 0.0308
Loss: 104.7648, Primary Loss: 104.7251, Reg Loss: 0.0397
Loss: 123.1639, Primary Loss: 123.1312, Reg Loss: 0.0327
Loss: 94.0540, Primary Loss: 94.0119, Reg Loss: 0.0421
Loss: 99.9059, Primary Loss: 99.8693, Reg Loss: 0.0366
Loss: 116.5023, Primary Loss: 116.4679, Reg Loss: 0.0344
Loss: 122.2886, Primary Loss: 122.2531, Reg Loss: 0.0355
Loss: 101.5990, Primary Loss: 101.5659, Reg Loss: 0.0331
